nohup: ignoring input
Escuchando en 0.0.0.0:6100...
Tablas 'mediciones' y 'mediciones2' verificadas o creadas exitosamente.
Datos guardados en mediciones - Carro: car1, Latitud: 10.998381, Longitud: -74.937139, Velocidad: 0, RPM: 0, Timestamp: 2024-11-21 10:12:56
Datos recibidos desde 191.95.134.108:56974 - {"carId":"car1","latitude":"10.998325","longitude":"-74.937419","timestamp":1732201977756,"speed":0,"rpm":0}
Datos guardados en mediciones - Carro: car1, Latitud: 10.998325, Longitud: -74.937419, Velocidad: 0, RPM: 0, Timestamp: 2024-11-21 10:12:57
Datos recibidos desde 191.95.134.108:56974 - {"carId":"car1","latitude":"10.998269","longitude":"-74.937702","timestamp":1732201978765,"speed":0,"rpm":0}
Datos guardados en mediciones - Carro: car1, Latitud: 10.998269, Longitud: -74.937702, Velocidad: 0, RPM: 0, Timestamp: 2024-11-21 10:12:58
Datos recibidos desde 191.95.134.108:56974 - {"carId":"car1","latitude":"10.998214","longitude":"-74.937980","timestamp":1732201979766,"speed":0,"rpm":0}
Datos guardados en mediciones - Carro: car1, Latitud: 10.998214, Longitud: -74.937980, Velocidad: 0, RPM: 0, Timestamp: 2024-11-21 10:12:59
Datos recibidos desde 191.95.134.108:56974 - {"carId":"car1","latitude":"10.998158","longitude":"-74.938259","timestamp":1732201980759,"speed":0,"rpm":0}
Datos guardados en mediciones - Carro: car1, Latitud: 10.998158, Longitud: -74.938259, Velocidad: 0, RPM: 0, Timestamp: 2024-11-21 10:13:00
Datos recibidos desde 191.95.134.108:56974 - {"carId":"car1","latitude":"10.998097","longitude":"-74.938564","timestamp":1732201981754,"speed":0,"rpm":0}
Datos guardados en mediciones - Carro: car1, Latitud: 10.998097, Longitud: -74.938564, Velocidad: 0, RPM: 0, Timestamp: 2024-11-21 10:13:01
Datos recibidos desde 191.95.134.108:56974 - {"carId":"car1","latitude":"10.998024","longitude":"-74.938931","timestamp":1732201982754,"speed":0,"rpm":0}
Datos guardados en mediciones - Carro: car1, Latitud: 10.998024, Longitud: -74.938931, Velocidad: 0, RPM: 0, Timestamp: 2024-11-21 10:13:02
Datos recibidos desde 191.95.134.108:56974 - {"carId":"car1","latitude":"10.997944","longitude":"-74.939339","timestamp":1732201983757,"speed":0,"rpm":0}
Datos guardados en mediciones - Carro: car1, Latitud: 10.997944, Longitud: -74.939339, Velocidad: 0, RPM: 0, Timestamp: 2024-11-21 10:13:03
Datos recibidos desde 191.95.134.108:56974 - {"carId":"car1","latitude":"10.997864","longitude":"-74.939741","timestamp":1732201984764,"speed":0,"rpm":0}
Datos guardados en mediciones - Carro: car1, Latitud: 10.997864, Longitud: -74.939741, Velocidad: 0, RPM: 0, Timestamp: 2024-11-21 10:13:04
Datos recibidos desde 191.95.134.108:56974 - {"carId":"car1","latitude":"10.997784","longitude":"-74.940141","timestamp":1732201985767,"speed":0,"rpm":0}
Datos guardados en mediciones - Carro: car1, Latitud: 10.997784, Longitud: -74.940141, Velocidad: 0, RPM: 0, Timestamp: 2024-11-21 10:13:05
Datos recibidos desde 191.95.134.108:56974 - {"carId":"car1","latitude":"10.997705","longitude":"-74.940538","timestamp":1732201986770,"speed":0,"rpm":0}
Datos guardados en mediciones - Carro: car1, Latitud: 10.997705, Longitud: -74.940538, Velocidad: 0, RPM: 0, Timestamp: 2024-11-21 10:13:06
Datos recibidos desde 191.95.134.108:56974 - {"carId":"car1","latitude":"10.997627","longitude":"-74.940933","timestamp":1732201987767,"speed":0,"rpm":0}
Datos guardados en mediciones - Carro: car1, Latitud: 10.997627, Longitud: -74.940933, Velocidad: 0, RPM: 0, Timestamp: 2024-11-21 10:13:07
Datos recibidos desde 191.95.134.108:56974 - {"carId":"car1","latitude":"10.997547","longitude":"-74.941332","timestamp":1732201988761,"speed":0,"rpm":0}
Datos guardados en mediciones - Carro: car1, Latitud: 10.997547, Longitud: -74.941332, Velocidad: 0, RPM: 0, Timestamp: 2024-11-21 10:13:08
